smiles,IC50_nM,pIC50,Fingerprint
Cn1cc(Cl)c2cnc(NC(=O)c3ccc([C@](C)(O)CO)cc3)cc21,38.0,7.42021640338319,[0 0 0 ... 0 0 0]
Cc1cc2c(-c3ccc(S(=O)(=O)NCCN)s3)ccnc2[nH]1,251.0,6.600326278518962,[0 0 0 ... 0 0 1]
Cc1cc(C)c2nc(N3C(=O)C(O)=C(C(=O)c4ccc(Cl)cc4)C3c3ccc(C(C)C)cc3)sc2c1,6300.0,5.200659450546418,[0 1 0 ... 0 0 0]
Cc1ccc(C(=O)C2=C(O)C(=O)N(c3nc4ccc(F)cc4s3)C2c2ccc(C(C)(C)C)cc2)cc1,7600.0,5.119186407719209,[0 0 0 ... 0 0 0]
CCOc1ccc2nc(N3C(=O)C(O)=C(C(=O)c4ccccc4)C3c3ccc(Cl)cc3)sc2c1,4200.0,5.376750709602099,[0 0 0 ... 0 0 0]
Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,1384.0,5.858863909879261,[0 1 0 ... 0 0 0]
Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,3.0,8.522878745280337,[0 1 0 ... 0 0 0]
Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,4792.0,5.319483190618746,[0 1 0 ... 0 0 0]
Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,2813.0,5.550830267834799,[0 1 0 ... 0 0 0]
Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,47.0,7.327902142064282,[0 1 0 ... 0 0 0]
Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,1918.0,5.717151397165355,[0 1 0 ... 0 0 0]
Nc1nccc(-c2ccc3c(N)n[nH]c3c2)n1,5690.0,5.244887733604928,[0 0 0 ... 0 0 0]
C[C@@H]1CCn2cnnc2-c2cccc(n2)NC(=O)c2ccccc2OC1,1000.0,6.0,[0 0 0 ... 0 0 0]
COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2C(C)CO)n1,7.0,8.154901959985743,[0 1 0 ... 0 0 0]
COC[C@H](C)n1cnnc1-c1cccc(NC(=O)c2cn(C)nc2OC)n1,793.0,6.100726812682396,[0 1 0 ... 0 0 0]
COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)F)n1,7.0,8.154901959985743,[0 1 0 ... 0 0 0]
COc1nn(CC2CC2)cc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1,9.0,8.045757490560675,[0 1 0 ... 0 0 0]
CC(=O)Nc1cccc(Nc2ncnc3[nH]cnc23)c1,10000.0,5.0,[0 0 0 ... 0 0 0]
CC(=O)Nc1cccc(Nc2ncc3ccccc3n2)c1,900.0,6.045757490560675,[0 0 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)c2ccccc2)n1,398.11,6.399996913372259,[0 1 0 ... 0 0 0]
Cc1cc(F)c(C(=O)Nc2ccccn2)cc1-n1cnc(C2CC2)c1,6309.57,5.200000237109354,[0 0 0 ... 0 0 0]
Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,17.0,7.769551078621726,[0 1 0 ... 0 0 0]
CC(C)OC(=O)Nc1cccc(-c2nncn2C(C)C)n1,473.1,6.325047051951435,[0 1 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccccc2)n1,2838.0,5.546987608878545,[0 1 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccc3ccccc3n2)n1,69.1,7.1605219526258015,[0 1 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cnn3ccccc23)n1,3646.0,5.4381833356810425,[0 1 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccc(-c3ccn(C)n3)cn2)n1,64.2,7.192464971931146,[0 1 0 ... 0 0 0]
C[C@H](CO)n1cnnc1-c1cccc(NC(=O)Nc2nccc3ccccc23)n1,37.9,7.421360790031928,[0 1 0 ... 0 0 0]
O=C(Nc1cccc(-c2nncn2C2CC2)c1)c1cc(-n2cnc(C3CC3)c2)ccn1,2.87,8.542118103266008,[0 0 0 ... 1 0 0]
COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1,3.0,8.522878745280337,[0 1 0 ... 0 0 0]
Cc1c(C(=O)Nc2cccc(-n3cnnn3)c2)oc2ccccc12,16700.0,4.777283528852417,[0 0 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)[C@H]2CN(c3ccc(C4CC4)nc3)CCO2)n1,17.0,7.769551078621726,[0 1 0 ... 0 0 0]
C[C@@H]1O[C@@H](n2c3ccc(O)cc3c3c4c(c5c6ccccc6[nH]c5c32)CNC4=O)C[C@@H](N)[C@H]1O,1100.0,5.958607314841775,[0 0 0 ... 0 0 0]
Cc1ccc(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)c(F)c1,55.0,7.259637310505756,[0 1 0 ... 0 0 0]
CNc1c2c3c(cccc3n(C)c1=O)C(=O)c1ccccc1-2,4700.0,5.327902142064282,[0 1 0 ... 0 0 0]
Nc1cccc(-c2ccc3nc(Nc4ccccc4)ncc3c2)c1,10000.0,5.0,[0 0 0 ... 0 0 0]
CN(C)c1cccc(Nc2nccc(NCCOc3ccccc3)n2)c1,2000.0,5.698970004336019,[0 0 0 ... 0 0 0]
CC(C)(C)C(=O)N(c1ccccc1)c1cccc(Nc2ncc3cc(Br)ccc3n2)c1,10000.0,5.0,[0 0 0 ... 0 1 0]
CC(=O)Nc1cccc(Nc2ncc3cc(-c4cnn(C)c4)ccc3n2)c1,10000.0,5.0,[0 0 0 ... 0 0 0]
CCn1cc(Br)c2cnc(NC(=O)c3ccc([C@@](C)(O)CO)cc3)cc21,2.0,8.698970004336019,[0 0 0 ... 0 1 0]
Cn1nc(C(F)(F)F)c2cc(C(=O)Nc3cccc(-c4nncn4C4CCCCC4)n3)c(=O)[nH]c21,5000.0,5.301029995663981,[0 0 1 ... 1 0 0]
O=C(Nc1cccc(-c2nncn2C2CC2)n1)c1cc(-c2cnc(Cl)nc2)cn(Cc2ccccc2F)c1=O,2370.0,5.625251653989896,[0 0 0 ... 1 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3ccccc3o2)n1,151.6,6.819300798703965,[0 1 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3cccc(Cl)c3[nH]2)n1,89.6,7.047691990337874,[0 1 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3ccccc3n2C)n1,743.0,6.129011186239424,[0 1 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)c2[nH]c3ccccc3c2-c2ccoc2)n1,142.8,6.845271792559844,[0 1 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3ccc(-c4cccnc4)cc3[nH]2)n1,68.5,7.164309428507575,[0 1 0 ... 0 0 0]
O=C(C1=C(O)C(=O)N(c2nc3ccc(F)cc3s2)C1c1cccc(Cl)c1)c1cccs1,4500.0,5.346787486224656,[0 0 0 ... 0 0 0]
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cccnc2)n1,1208.0,5.917933065714887,[0 1 0 ... 0 0 0]
CCCCOc1ccc(C2C(C(=O)c3ccc4c(c3)OCCO4)=C(O)C(=O)N2c2nc3ccc(C)cc3s2)cc1,4600.0,5.337242168318426,[0 0 0 ... 0 0 0]
COc1ccccc1C1C(C(=O)c2ccc(C)o2)=C(O)C(=O)N1c1nc2c(C)cc(C)cc2s1,35500.0,4.449771646944906,[0 0 0 ... 0 0 0]
COc1ccc2cc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)[nH]c2c1,54.3,7.265200170411153,[0 1 0 ... 0 0 0]
COCCn1cc(NC(=O)c2csc(-c3nncn3C(C)C)n2)cn1,60.0,7.221848749616356,[0 1 0 ... 0 0 0]
C[C@@H](CO)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,31.62,7.50003813440381,[0 1 0 ... 0 0 0]
